0,300,4974635509,140,9,3,62.69348571,1,2
300,600,4974635509,140,9,3,55.62678857,1,14
600,900,4974635509,140,9,3,51.53060571,1,27
900,1200,4974635509,140,9,3,44.3232,1,39
1500,1800,4974635509,140,9,3,49.62322286,1,65
2100,2400,4974635509,140,9,3,49.71702857,1,93
2400,2700,4974635509,140,9,3,47.27808,1,106
2700,3000,4974635509,140,9,3,45.51140571,1,119
3300,3600,4974635509,140,9,3,45.22998857,1,159
3900,4200,4974635509,140,9,3,44.27629714,1,182
4200,4500,4974635509,140,9,3,52.20288,1,195
4800,5100,4974635509,140,9,3,44.94857143,1,219
5700,6000,4974635509,140,9,3,44.69842286,1,257
6000,6300,4974635509,140,9,3,41.13380571,1,270
