0,300,6424858248,519,4,0,49.62322286,1,8
300,600,6424858248,519,4,0,51.53060571,1,20
600,900,6424858248,519,4,0,39.11698286,1,33
900,1200,6424858248,519,4,0,107.4544457,1,45
1200,1500,6424858248,519,4,0,105.3438171,1,57
1500,1566,6424858248,519,4,0,22.632192,1,71
1566,1800,6424858248,519,4,0,79.19266011,1,76
1800,2100,6424858248,519,4,0,88.27117714,1,86
2100,2400,6424858248,519,4,0,45.80845714,1,99
2400,2700,6424858248,519,4,0,49.04475429,1,112
2700,3000,6424858248,519,4,0,39.69545143,1,125
3000,3256,6424858248,519,4,0,28.69704411,1,139
3256,3292,6424858248,519,4,0,11.86267063,1,150
3292,3300,6424858248,519,4,0,2.972181943,1,156
3300,3600,6424858248,519,4,0,108.2048914,1,165
3600,3900,6424858248,519,4,0,107.4544457,1,176
3900,4200,6424858248,519,4,0,99.24644571,1,188
4200,4500,6424858248,519,4,0,64.0224,1,201
4500,4800,6424858248,519,4,0,59.25394286,1,213
4800,5100,6424858248,519,4,0,52.10907429,1,225
5100,5400,6424858248,519,4,0,31.97211429,1,236
5400,5432,6424858248,519,4,0,5.032989257,1,250
5432,5700,6424858248,519,4,0,39.55349211,1,255
5700,5908,6424858248,519,4,0,57.55918629,1,263
5908,6000,6424858248,519,4,0,27.15612891,1,268
6000,6300,6424858248,519,4,0,96.38537143,1,276
6300,6600,6424858248,519,4,0,94.85321143,1,288
