0,300,6238835298,18,9,1,2.454582857,1,3
300,600,6238835298,18,9,1,23.77974857,1,15
600,900,6238835298,18,9,1,14.14590171,1,28
900,1200,6238835298,18,9,1,2.320128,1,40
1200,1500,6238835298,18,9,1,4.072731429,1,52
1500,1800,6238835298,18,9,1,30.39305143,1,66
1800,2100,6238835298,18,9,1,39.41403429,1,81
2100,2400,6238835298,18,9,1,9.268004571,1,94
2400,2700,6238835298,18,9,1,24.31131429,1,107
2700,3000,6238835298,18,9,1,3.256621714,1,120
3000,3300,6238835298,18,9,1,1.577499429,1,134
3300,3600,6238835298,18,9,1,5.068635429,1,160
3600,3900,6238835298,18,9,1,11.55842743,1,171
3900,4200,6238835298,18,9,1,42.04059429,1,183
4200,4500,6238835298,18,9,1,17.29152,1,196
4500,4800,6238835298,18,9,1,5.678372571,1,208
4800,5100,6238835298,18,9,1,1.771364571,1,220
5100,5400,6238835298,18,9,1,5.731529143,1,231
5400,5700,6238835298,18,9,1,8.015698286,1,245
5700,6000,6238835298,18,9,1,2.159094857,1,258
6000,6300,6238835298,18,9,1,2.218505143,1,271
6300,6600,6238835298,18,9,1,1.556549486,1,283
